ts_event,close_AAPL,close_AMZN,close_MSFT,close_META,close_GOOGL,close_NVDA,close_SPY,close_GM
2021-07-26 09:00:00,147950000000,3661590000000,290300000000,14760000000,2658690000000,193690000000,438750000000,54650000000
2021-07-26 10:00:00,147730000000,3665000000000,289590000000,14720000000,2660480000000,194010000000,438550000000,54750000000
2021-07-26 11:00:00,148380000000,3673650000000,289900000000,14740000000,2665250000000,193880000000,439110000000,54810000000
2021-07-26 12:00:00,148160000000,3669980000000,289000000000,14740000000,2663990000000,192800000000,438730000000,54750000000
2021-07-26 13:00:00,149490000000,3689160000000,288040000000,14680000000,2661710000000,193400000000,439980000000,55520000000
2021-07-26 14:00:00,149340000000,3690000000000,286955000000,14650000000,2656800000000,192760000000,439640000000,55690000000
2021-07-26 15:00:00,149510000000,3701130000000,288520000000,14650000000,2666840000000,193020000000,440700000000,55840000000
2021-07-26 16:00:00,149080000000,3699420000000,288420000000,14610000000,2666090000000,191700000000,440180000000,55580000000
2021-07-26 17:00:00,149345000000,3697190000000,288840000000,14620000000,2657910000000,191790000000,440340000000,55530000000
2021-07-26 18:00:00,149470000000,3695480000000,289520000000,14640000000,2674120000000,191610000000,440610000000,55635000000
2021-07-26 19:00:00,148990000000,3700000000000,289050000000,14630000000,2682630000000,192890000000,440990000000,55770000000
2021-07-26 20:00:00,149210000000,3693000000000,289220000000,14700000000,2684670000000,192290000000,441040000000,55780000000
2021-07-26 21:00:00,149280000000,3694650000000,289600000000,14700000000,2685000000000,192210000000,441110000000,55770000000
2021-07-27 08:00:00,148700000000,3688120000000,288750000000,14640000000,2679690000000,190960000000,439200000000,55750000000
2021-07-27 09:00:00,148900000000,3692000000000,288740000000,14630000000,2680170000000,191550000000,439640000000,55500000000
2021-07-27 10:00:00,149010000000,3697900000000,289190000000,14610000000,2686000000000,191900000000,440050000000,55510000000
2021-07-27 11:00:00,149270000000,3701000000000,289650000000,14550000000,2691000000000,191710000000,440190000000,55650000000
2021-07-27 12:00:00,149340000000,3699000000000,289620000000,14550000000,2693450000000,192160000000,440290000000,55530000000
2021-07-27 13:00:00,148650000000,3665030000000,288670000000,14460000000,2679380000000,193020000000,439240000000,54850000000
2021-07-27 14:00:00,147420000000,3626000000000,285470000000,14260000000,2643610000000,190910000000,438570000000,55130000000
2021-07-27 15:00:00,146370000000,3603890000000,285120000000,14230000000,2638680000000,189460000000,437610000000,54600000000
2021-07-27 16:00:00,146060000000,3595810000000,284320000000,14200000000,2617220000000,188910000000,436810000000,54540000000
